Consumer-ID,Stick-budget,Sea-view,Budget-for-apartament,Budget-for-culture,Only-Restauratns,Spontanous-buying,BudgetTrip2024,Most-expensive-trip
54,2,4,2,4,2,4,5000,10000
53,3,4,2,4,3,4,4000,6000
52,5,1,2,3,1,5,2500,10000
51,2,2,2,3,1,5,3500,4000
50,4,5,3,4,2,2,2500,3000
49,4,2,3,4,4,3,1000,6000
48,4,1,5,1,3,4,8000,5000
47,4,5,2,5,3,4,2000,3000
46,3,2,2,4,3,4,3000,5000
45,2,2,1,5,2,4,2000,2500
44,4,3,3,3,2,4,4500,4500
43,3,3,1,2,4,5,5000,3500
42,4,1,2,1,2,4,3000,5000
41,4,3,2,3,2,4,4000,4200
40,5,5,3,2,3,3,5000,50000
39,3,5,3,2,2,5,3500,4000
38,2,2,4,2,1,2,3000,30000
37,4,3,2,5,3,4,3000,4000
36,4,1,1,5,4,4,3000,7800
35,3,3,4,3,2,4,3500,6500
34,3,1,2,3,4,4,3000,9000
33,4,1,1,4,1,5,1500,10000
32,4,1,1,4,1,4,3000,7000
31,4,4,2,4,1,4,6000,9000
30,3,3,1,5,2,5,4000,14000
29,3,4,2,4,2,4,4000,6000
28,2,4,2,2,4,4,6000,8000
27,3,4,1,3,2,3,6000,6000
26,4,1,4,1,4,4,6000,7000
25,4,2,4,3,3,5,3000,2500
24,2,5,2,4,1,4,7000,15000
23,3,4,3,3,2,4,3000,3500
22,1,2,4,2,1,4,3000,5000
21,5,3,2,3,3,3,10000,10000
20,3,4,3,3,2,4,4000,12000
19,2,1,1,3,1,1,5000,4000
18,4,5,3,3,2,4,4000,10000
17,4,4,3,3,4,3,3500,13000
16,1,2,3,1,1,3,4000,25000
15,3,4,2,4,4,5,1800,5000
14,2,4,4,2,2,5,3000,8000
13,3,4,4,3,5,4,4000,5000
12,2,4,2,5,4,4,3000,5000
11,4,5,2,5,5,5,4000,6000
10,4,4,4,3,4,4,5000,7500
9,4,3,2,2,3,5,4500,8500
8,4,3,4,3,2,4,4000,15000
7,4,4,2,4,3,3,4000,3400
6,5,1,1,5,2,4,3000,5000
5,1,2,3,2,1,4,3000,4500
4,5,3,2,3,4,4,3000,3500
3,1,1,1,1,1,1,100000,80000
2,4,2,2,2,1,4,3000,4000
1,4,2,2,5,2,4,5000,5000
