Consumer-ID,Every-day-Posting,Travel-for-account-promotion,Travel-influ-posting,Posting-during-travel,My-posting-influence-travel,I-know-where-to-travel,Search-for-travel-media,Media-are-suffic,UGC-travel-suff,Media-important-for-travel-search,I-would-use-travel-app,I-use-travel-portals,I-traveled-to-place-from-social-media,Adverts-on-trip,I-use-travel-apps,I-will-share-photos-during-trip,I-can-create-travel-plan,There-is-need-of-travel-service
35,1,3,3,3,5,5,2,2,4,3,4,3,4,4,5,2,5,3
34,1,1,1,5,4,2,2,1,5,5,4,1,1,2,1,1,4,1
33,1,2,4,3,4,3,2,1,2,3,4,3,2,4,3,2,3,4
32,1,1,1,4,4,1,1,1,5,3,5,1,1,4,2,1,4,3
31,1,4,2,4,4,5,3,4,4,2,4,4,4,4,3,2,3,4
30,2,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5
29,1,1,2,2,4,4,3,4,4,4,4,4,4,4,4,1,4,5
28,2,4,4,4,4,4,2,2,4,4,5,2,4,3,2,4,4,4
27,1,1,1,3,4,3,1,2,3,4,2,2,3,2,2,1,4,3
26,1,5,5,5,4,5,5,5,5,5,5,4,5,2,1,4,4,5
25,1,1,1,4,1,5,4,4,5,3,5,5,2,4,1,3,3,3
24,5,2,3,3,5,5,5,2,3,3,5,5,5,5,5,3,5,3
23,1,3,3,3,3,4,4,3,3,3,4,3,2,3,2,3,3,4
22,1,4,3,5,2,1,3,2,4,2,5,1,3,4,5,2,3,2
21,1,1,1,3,5,2,2,2,3,3,4,3,4,2,4,2,3,3
20,1,1,1,3,4,3,1,1,1,2,4,4,3,3,4,2,4,4
19,1,1,1,3,4,4,5,4,4,3,4,3,4,1,1,1,4,3
18,1,2,3,4,4,4,3,2,4,4,4,4,4,4,2,2,4,3
17,1,1,1,5,3,5,4,3,4,4,5,3,4,2,3,1,2,4
16,1,1,1,5,1,1,1,1,1,3,1,1,3,2,4,1,3,3
15,1,1,1,4,4,3,4,2,4,4,2,1,2,4,1,1,3,2
14,1,2,3,4,1,2,2,2,4,4,4,1,1,3,1,3,2,4
13,2,2,2,4,5,5,5,5,5,4,5,4,4,4,4,3,4,4
12,1,2,2,4,5,5,4,4,4,3,4,4,4,3,2,1,4,4
11,1,2,2,4,4,4,4,3,4,4,4,3,4,3,2,3,4,5
10,1,1,1,3,4,4,4,3,4,4,4,2,3,3,3,2,3,4
9,1,1,1,5,5,5,3,2,2,5,4,3,4,4,3,1,4,4
8,1,3,2,3,5,3,2,1,4,4,4,4,4,3,3,2,5,4
7,1,4,3,3,3,4,3,2,3,3,4,3,4,3,3,3,4,4
6,1,1,2,5,4,5,5,4,5,5,4,4,5,2,1,3,5,4
5,1,3,5,3,4,5,5,4,5,3,3,1,1,4,1,5,4,2
4,1,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,4,4,4,4,5,2,2,4,4,4,4,5,4,2,4,3,4
1,5,5,5,5,3,5,2,2,4,4,5,4,5,4,4,5,4,5
