Consumer-ID,UI,UX,Download-importance,Dark-Light,Logo-importance,Notifications,Local-community,Local-events,Local-culture-experience,Historical-aspects,Every-day-Posting,Travel-for-account-promotion,Travel-influ-posting,Posting-during-travel,My-posting-influence-travel,I-know-where-to-travel,Search-for-travel-media,Media-are-suffic,UGC-travel-suff,Media-important-for-travel-search,I-would-use-travel-app,I-use-travel-portals,I-traveled-to-place-from-social-media,Adverts-on-trip,I-use-travel-apps,I-will-share-photos-during-trip,I-can-create-travel-plan,There-is-need-of-travel-service,Stick-budget,Sea-view,Budget-for-apartament,Budget-for-culture,Only-Restauratns,Spontanous-buying,BudgetTrip2024,Most-expensive-trip,Abroad-feeling,Routine-forget,Same-experience-all-the-time,Same-experience-all-the-time-v2,Safety-during-trip,Own-experience,Cluster
71,4,4,4,4,3,4,4,4,4,4,1,1,1,4,4,4,2,2,4,4,4,2,4,3,2,2,2,3,4,3,4,2,2,4,4500,3000,4,4,2,2,4,4,1
70,3,4,5,4,3,4,5,4,5,5,1,1,1,3,4,1,1,1,1,3,4,1,2,2,3,1,2,3,4,4,2,4,2,4,6000,5000,5,5,3,4,4,2,1
91,4,5,5,4,3,3,5,4,5,4,1,1,1,4,4,3,2,1,3,3,4,1,3,3,4,1,3,4,4,4,4,3,2,3,5000,7500,5,5,2,1,4,3,1
93,3,3,4,5,2,5,4,3,3,4,2,2,2,2,3,2,2,1,2,4,3,2,3,3,2,1,3,4,3,3,2,4,2,4,10000,25000,3,3,3,3,3,4,1
111,4,4,4,4,3,5,4,4,5,4,1,1,1,3,4,3,2,2,3,4,3,2,2,2,2,2,2,2,3,4,2,4,2,4,5000,10000,4,4,3,3,4,2,1
68,4,3,4,4,3,2,4,4,4,4,3,2,2,4,3,4,2,2,3,4,3,3,2,4,3,2,3,4,4,3,3,3,2,4,5000,10000,4,4,2,3,4,3,1
67,3,2,4,4,2,3,5,4,5,4,1,1,1,2,4,3,2,3,2,3,4,3,4,3,4,1,2,3,2,3,2,5,4,4,5000,26000,3,4,3,3,5,3,1
96,4,3,5,5,3,3,4,3,4,5,1,1,1,2,3,2,4,2,2,3,4,2,2,3,2,1,4,2,2,5,2,4,2,3,6000,8000,5,5,3,2,3,4,1
65,4,3,5,1,3,2,4,4,4,4,1,1,1,4,2,4,2,2,4,4,4,2,3,3,2,1,4,4,2,4,3,4,3,4,6000,4000,4,4,3,2,4,4,1
101,5,4,5,1,4,4,5,4,5,5,1,1,1,4,4,2,2,1,1,2,4,5,2,2,2,1,3,3,3,4,3,3,3,4,4000,5000,5,5,1,5,4,5,1
103,4,3,5,2,1,5,5,5,5,5,1,1,1,3,4,2,1,2,3,3,4,4,3,4,3,1,3,4,3,4,2,4,3,1,6000,12000,5,5,3,1,3,3,1
104,5,3,5,1,5,5,5,5,5,4,1,1,1,4,4,1,1,3,4,3,3,4,4,4,3,1,4,1,4,4,3,4,1,4,3000,14000,4,4,2,1,4,4,1
105,3,4,5,4,3,5,3,4,3,2,2,2,1,3,3,4,3,4,4,4,4,3,4,3,2,2,4,4,4,4,2,4,2,4,10000,10000,4,4,4,4,4,4,1
107,4,4,4,4,3,4,4,4,4,4,2,2,2,3,4,3,3,2,3,3,4,4,3,3,4,2,4,3,3,3,2,4,3,4,5000,25000,3,3,2,2,4,4,1
110,5,4,3,4,3,4,5,5,5,5,1,1,1,3,4,3,1,1,3,2,3,3,3,5,3,1,3,3,4,4,2,3,2,4,5000,20000,3,3,1,1,2,4,1
149,4,5,4,1,3,3,4,3,4,4,1,1,1,3,3,3,2,3,2,3,3,3,2,2,2,2,3,3,2,3,3,3,3,4,3500,5000,4,3,3,2,2,3,1
76,5,5,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,4,2,3,4,3,3,3,3,3,3,3,20000,25000,3,3,3,3,3,3,1
39,4,4,4,3,2,5,4,3,4,4,1,1,1,5,4,2,2,1,5,5,4,1,1,2,1,1,4,1,3,1,2,3,4,4,3000,9000,5,5,1,1,3,5,1
15,3,3,4,4,3,5,4,3,4,4,1,1,1,3,4,4,4,3,4,4,4,2,3,3,3,2,3,4,4,4,4,3,4,4,5000,7500,4,4,4,3,4,4,1
171,4,4,5,1,4,3,4,2,4,4,1,3,1,5,4,2,3,3,4,4,4,2,2,3,3,1,5,4,3,2,4,2,4,3,2500,4000,4,3,2,3,1,3,1
25,5,3,4,4,3,5,5,4,4,5,1,1,1,3,4,3,1,1,1,2,4,4,3,3,4,2,4,4,3,4,3,3,2,4,4000,12000,5,3,1,1,3,4,1
24,3,3,4,2,2,5,4,4,4,5,1,1,1,3,4,4,5,4,4,3,4,3,4,1,1,1,4,3,2,1,1,3,1,1,5000,4000,4,4,2,3,3,5,1
174,4,4,4,2,3,4,5,5,5,4,1,3,2,4,4,2,2,1,3,4,2,1,4,4,1,1,4,1,4,2,4,2,2,3,2000,6000,5,4,1,1,3,4,1
22,5,3,5,2,4,5,4,2,4,5,1,1,1,5,3,5,4,3,4,4,5,3,4,2,3,1,2,4,4,4,3,3,4,3,3500,13000,4,4,4,5,5,3,1
21,5,5,3,1,3,5,3,3,5,3,1,1,1,5,1,1,1,1,1,3,1,1,3,2,4,1,3,3,1,2,3,1,1,3,4000,25000,3,3,1,4,2,3,1
19,5,5,5,2,4,4,4,4,5,3,1,2,3,4,1,2,2,2,4,4,4,1,1,3,1,3,2,4,2,4,4,2,2,5,3000,8000,4,5,2,2,4,2,1
14,3,4,5,5,3,3,3,4,3,2,1,1,1,5,5,5,3,2,2,5,4,3,4,4,3,1,4,4,4,3,2,2,3,5,4500,8500,1,4,5,5,5,3,1
27,3,5,5,4,1,3,1,1,2,1,1,4,3,5,2,1,3,2,4,2,5,1,3,4,5,2,3,2,1,2,4,2,1,4,3000,5000,4,4,5,3,4,5,1
185,4,4,4,1,3,4,4,4,4,4,3,3,4,4,4,3,1,2,3,2,4,4,4,2,2,2,4,4,2,4,3,2,2,4,2000,5000,4,4,2,2,2,4,1
189,3,3,5,1,1,5,3,3,3,2,1,1,3,3,2,2,4,3,5,3,3,1,2,3,2,2,4,2,5,2,1,5,3,5,5000,3500,3,5,3,3,5,5,1
191,5,5,4,1,3,5,4,1,4,4,2,2,2,4,3,2,3,2,3,3,4,1,1,3,2,2,2,4,1,4,4,2,4,4,4000,3200,3,4,2,2,4,3,1
6,5,5,2,2,3,5,4,4,4,5,1,1,2,1,3,1,2,3,3,2,3,3,4,4,3,1,4,4,4,4,2,2,2,5,6000,6600,5,5,3,3,3,2,1
199,5,4,2,2,4,4,3,2,3,4,1,1,1,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,4,2,15000,20000,3,3,3,3,3,4,1
201,3,3,5,2,4,4,4,4,4,5,1,1,1,1,4,4,3,1,1,2,4,3,3,3,3,3,3,3,4,4,3,4,5,5,15000,30000,5,4,3,5,4,5,1
202,3,3,4,2,1,3,4,3,5,5,1,2,1,2,3,2,1,2,2,3,2,4,2,2,1,1,4,3,4,2,1,2,1,4,4000,10000,4,4,3,3,3,5,1
26,5,4,5,2,4,3,5,4,5,4,1,1,1,3,5,2,2,2,3,3,4,3,4,2,4,2,3,3,5,3,2,3,3,3,10000,10000,5,5,3,2,4,4,1
20,4,3,4,1,2,5,4,3,4,2,1,1,1,4,4,3,4,2,4,4,2,1,2,4,1,1,3,2,3,4,2,4,4,5,1800,5000,5,4,2,2,5,5,1
158,2,2,3,1,2,3,4,4,4,4,1,1,1,3,4,2,2,3,5,1,3,1,3,1,5,2,4,1,4,1,4,1,3,4,10000,18000,4,4,4,4,4,4,1
32,1,3,5,5,2,5,4,4,4,4,1,1,1,3,4,3,1,2,3,4,2,2,3,2,2,1,4,3,3,4,1,3,2,3,6000,6000,4,4,3,3,5,5,1
37,5,5,4,3,4,5,4,2,4,1,1,1,1,4,4,1,1,1,5,3,5,1,1,4,2,1,4,3,4,1,1,4,1,4,3000,7000,5,5,1,3,2,5,1
160,4,4,4,5,4,2,4,2,4,4,1,1,1,4,2,1,2,2,4,4,4,2,2,2,2,2,2,2,4,1,4,2,4,2,5000,2,3,4,3,2,5,3,1
162,5,4,5,3,1,5,5,4,5,2,1,1,1,4,4,1,1,1,3,5,3,2,1,1,5,1,4,3,2,4,3,3,2,4,4000,4000,5,4,1,1,3,4,1
163,5,5,4,3,3,4,3,4,3,2,1,2,3,4,2,2,3,3,4,4,4,2,3,2,3,2,2,4,3,3,3,3,3,4,6000,8000,4,4,3,3,4,3,1
38,1,5,5,3,1,4,4,3,4,3,1,2,4,3,4,3,2,1,2,3,4,3,2,4,3,2,3,4,4,1,1,4,1,5,1500,10000,5,5,1,1,3,3,1
66,5,4,5,5,3,5,5,5,5,5,1,2,3,4,5,5,4,4,4,4,4,3,3,3,4,2,4,4,2,4,4,3,2,4,5000,20000,5,5,1,1,5,5,0
12,4,5,3,3,3,4,5,5,5,4,1,4,3,3,3,4,3,2,3,3,4,3,4,3,3,3,4,4,4,4,2,4,3,3,4000,3400,4,4,2,1,4,4,0
8,5,5,5,4,2,4,5,3,5,5,1,4,4,4,4,5,2,2,4,4,4,4,5,4,2,4,3,4,4,2,2,2,1,4,3000,4000,5,5,2,1,5,4,0
11,4,5,5,1,3,4,5,3,5,4,1,1,2,5,4,5,5,4,5,5,4,4,5,2,1,3,5,4,5,1,1,5,2,4,3000,5000,5,5,2,1,5,5,0
64,4,4,4,3,3,3,5,5,5,5,1,3,4,4,4,4,2,2,4,3,4,4,4,3,3,4,4,3,3,4,2,4,3,4,3000,6000,5,5,2,2,4,4,0
44,5,5,3,4,4,3,4,4,4,5,2,4,4,4,2,4,4,2,4,5,4,3,4,3,3,4,3,4,3,5,3,2,2,5,3500,4000,4,5,1,1,5,3,0
10,5,4,3,1,2,3,4,4,4,4,1,3,5,3,4,5,5,4,5,3,3,1,1,4,1,5,4,2,1,2,3,2,1,4,3000,4500,5,5,3,2,3,4,0
43,5,5,4,3,3,4,4,4,4,4,2,4,5,4,4,4,2,2,5,3,4,4,3,2,2,2,5,4,2,2,4,2,1,2,3000,30000,5,5,1,1,4,4,0
63,4,5,5,3,1,4,5,5,5,5,1,1,1,4,5,4,2,2,5,3,4,5,4,2,4,1,3,4,2,4,2,5,4,4,5000,30000,5,5,1,1,2,5,0
9,5,5,5,3,4,3,4,3,4,5,1,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,5,3,2,3,4,4,3000,3500,4,4,2,1,4,3,0
5,4,4,4,3,4,3,4,4,5,4,2,2,3,4,3,4,4,4,4,4,4,2,4,4,3,4,2,4,4,4,4,4,4,4,5000,5000,4,4,2,2,2,4,0
69,4,5,4,5,3,5,5,4,5,5,1,1,4,3,4,5,4,4,4,4,4,4,3,4,3,3,4,3,4,4,2,5,2,5,6000,500,5,5,4,3,4,2,0
7,4,4,5,3,2,3,4,4,4,4,5,5,5,5,3,5,2,2,4,4,5,4,5,4,4,5,4,5,4,2,2,5,2,4,5000,5000,5,5,1,1,4,5,0
62,1,3,1,5,3,3,5,4,4,5,1,2,2,3,4,4,4,2,4,4,5,4,4,5,4,2,5,3,4,5,3,4,4,2,3500,4000,5,5,3,1,5,3,0
4,4,4,5,2,4,4,5,5,5,5,2,4,4,5,4,5,4,2,4,4,5,4,4,3,3,4,4,4,4,4,3,4,4,4,7500,17000,5,5,2,3,4,3,0
3,5,5,5,3,3,4,4,3,4,5,1,1,2,3,3,4,3,2,4,5,5,3,4,4,3,2,4,4,4,2,4,3,2,4,7000,10000,5,5,2,3,3,4,0
42,4,5,5,4,2,5,5,5,5,4,1,1,1,4,3,4,5,2,5,5,5,4,4,3,2,2,2,5,4,3,2,5,3,4,3000,4000,5,5,1,1,5,5,0
2,4,4,4,1,3,4,5,5,5,3,2,1,2,2,4,2,2,2,3,4,5,4,4,2,3,1,2,5,3,1,1,2,5,5,6000,5500,5,5,1,1,5,4,0
73,5,5,4,5,3,5,4,3,5,3,2,4,4,4,4,3,2,2,4,4,4,4,4,4,1,4,2,4,3,4,3,4,3,5,3500,6000,5,5,1,2,5,2,0
75,4,4,4,4,4,4,4,4,4,4,3,1,5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,4,4,4,3,4,5000,7000,4,4,4,4,4,4,0
41,4,5,2,1,2,5,5,5,5,4,1,4,2,4,4,3,4,4,4,2,5,4,5,4,4,2,4,5,4,1,1,5,4,4,3000,7800,5,3,1,1,3,4,0
13,5,5,5,3,3,4,5,5,5,5,1,3,2,3,5,3,2,1,4,4,4,4,4,3,3,2,5,4,4,3,4,3,2,4,4000,15000,5,5,2,2,4,4,0
31,5,4,5,1,2,5,5,2,5,3,1,5,5,5,4,5,5,5,5,5,5,4,5,2,1,4,4,5,4,1,4,1,4,4,6000,7000,5,5,1,1,5,3,0
36,4,4,5,5,3,4,5,5,5,5,1,4,2,4,4,5,3,4,4,2,4,4,4,4,3,2,3,4,4,4,2,4,1,4,6000,9000,4,5,3,4,4,2,0
46,5,3,4,1,2,3,4,4,4,4,1,4,3,4,2,4,2,2,4,4,5,3,4,4,3,4,2,4,4,3,2,3,2,4,4000,4200,5,5,3,3,4,3,0
30,5,5,5,1,4,5,5,4,4,4,1,1,1,4,1,5,4,4,5,3,5,5,2,4,1,3,3,3,4,2,4,3,3,5,3000,2500,4,5,4,1,5,2,0
51,4,4,2,4,3,3,5,4,4,4,1,4,4,4,4,5,4,4,4,4,4,3,4,2,2,4,4,4,3,2,2,4,3,4,3000,5000,5,5,2,2,4,4,0
52,3,4,5,4,3,3,5,4,5,4,2,2,3,4,3,5,5,4,5,4,4,3,4,4,5,2,5,4,4,5,2,5,3,4,2000,3000,5,5,2,1,5,4,0
29,5,5,5,5,5,5,5,5,5,5,5,2,3,3,5,5,5,2,3,3,5,5,5,5,5,3,5,3,2,5,2,4,1,4,7000,15000,5,5,3,2,5,5,0
28,4,4,4,1,4,5,5,5,5,5,1,3,3,3,3,4,4,3,3,3,4,3,2,3,2,3,3,4,3,4,3,3,2,4,3000,3500,5,5,3,2,5,3,0
33,5,4,2,4,2,4,4,3,4,4,2,4,4,4,4,4,2,2,4,4,5,2,4,3,2,4,4,4,2,4,2,2,4,4,6000,8000,4,4,1,1,4,3,0
47,4,4,5,2,2,4,4,5,3,4,2,4,4,4,5,4,2,3,4,5,4,4,4,4,3,4,2,4,4,1,2,1,2,4,3000,5000,5,3,1,1,3,5,0
23,4,4,3,2,3,4,4,4,4,4,1,2,3,4,4,4,3,2,4,4,4,4,4,4,2,2,4,3,4,5,3,3,2,4,4000,10000,4,5,2,3,5,3,0
56,5,4,5,5,5,5,5,4,5,4,3,4,5,5,3,4,2,2,4,5,5,4,3,3,2,5,3,5,2,2,2,3,1,5,3500,4000,5,5,2,2,5,1,0
34,4,3,5,3,4,4,5,4,5,4,1,1,2,2,4,4,3,4,4,4,4,4,4,4,4,1,4,5,3,4,2,4,2,4,4000,6000,5,5,1,2,2,5,0
40,5,5,5,3,3,2,5,4,4,4,1,3,3,3,5,5,2,2,4,3,4,3,4,4,5,2,5,3,3,3,4,3,2,4,3500,6500,5,5,1,1,4,3,0
35,4,4,5,2,4,1,5,5,5,5,2,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,3,1,5,2,5,4000,14000,5,3,1,1,3,4,0
57,5,5,5,4,3,3,5,3,5,4,1,4,5,5,4,2,2,2,3,5,5,3,1,5,2,3,3,5,5,1,2,3,1,5,2500,10000,5,5,1,1,4,5,0
58,4,4,5,3,2,4,5,4,5,4,2,4,4,4,4,4,4,2,4,4,4,3,4,4,2,5,4,4,3,4,2,4,3,4,4000,6000,5,5,2,1,4,4,0
77,5,4,4,3,4,5,4,4,4,4,1,1,1,3,4,4,4,4,4,4,5,4,3,4,4,1,3,3,3,4,3,3,2,4,3000,10000,3,4,3,2,5,3,0
18,5,5,5,5,3,5,5,5,5,5,2,2,2,4,5,5,5,5,5,4,5,4,4,4,4,3,4,4,3,4,4,3,5,4,4000,5000,5,5,2,2,3,3,0
17,4,5,5,3,4,4,5,5,5,5,1,2,2,4,5,5,4,4,4,3,4,4,4,3,2,1,4,4,2,4,2,5,4,4,3000,5000,5,5,1,1,3,4,0
59,3,4,5,2,3,4,5,5,5,4,1,4,4,3,4,4,3,2,4,4,5,3,4,4,3,4,3,5,2,4,2,4,2,4,5000,10000,5,5,3,1,3,4,0
60,5,5,5,3,3,4,4,3,4,5,4,5,5,5,4,4,2,2,4,4,4,4,4,4,2,5,4,4,2,5,5,2,5,5,4000,20000,5,5,1,1,5,4,0
16,4,4,5,5,1,3,5,4,5,5,1,2,2,4,4,4,4,3,4,4,4,3,4,3,2,3,4,5,4,5,2,5,5,5,4000,6000,5,5,3,2,4,2,0
61,5,3,5,3,4,5,5,4,4,5,1,1,3,4,4,4,4,3,3,4,4,4,4,3,2,2,4,4,2,2,2,4,3,4,2000,6000,5,5,2,1,5,5,0
50,4,5,4,3,3,4,3,4,4,3,1,4,4,4,3,4,3,4,4,4,4,2,4,2,2,5,3,3,2,2,1,5,2,4,2000,2500,5,4,1,1,3,4,0
204,5,5,5,4,4,5,4,4,5,5,1,1,1,4,3,4,2,2,4,4,4,4,4,4,2,1,1,5,2,4,3,4,4,5,4000,5000,5,4,4,4,5,4,0
102,5,5,2,3,1,4,4,4,4,4,1,3,2,4,5,5,4,2,5,2,3,4,5,2,3,1,4,4,3,3,1,5,5,5,4000,12000,5,5,3,2,1,5,0
78,4,5,5,4,3,4,4,4,5,4,1,1,1,4,5,4,4,4,4,4,4,3,4,3,4,2,3,4,4,2,2,4,2,4,4000,2500,5,5,2,2,5,3,0
168,4,5,5,2,2,5,5,4,5,4,1,1,1,3,5,5,3,3,4,4,4,4,5,2,2,1,3,3,4,2,3,3,2,5,4000,5000,5,5,2,2,4,4,0
177,5,4,5,2,1,5,3,4,4,4,1,4,5,5,4,5,3,2,5,4,5,5,5,4,2,5,5,3,4,1,1,5,1,2,4000,6000,5,5,1,5,4,5,0
176,4,5,4,4,3,4,4,4,4,4,1,4,2,3,5,4,4,4,4,4,4,4,2,4,2,3,3,3,4,4,4,2,2,4,3000,4000,5,4,2,2,4,2,0
175,4,4,3,5,3,2,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,4,5,2,4,4,4000,15000,5,4,2,2,4,2,0
173,5,3,5,5,3,4,4,3,5,4,2,4,4,4,2,4,5,5,4,4,5,4,5,3,4,5,3,5,4,1,2,5,4,3,5000,6000,4,5,1,1,4,4,0
172,5,4,5,2,5,5,5,3,5,4,2,3,2,3,5,5,2,2,4,4,4,4,4,5,2,3,5,4,5,3,2,3,2,5,2000,1500,5,5,2,2,5,5,0
170,5,4,4,4,3,4,5,5,5,5,4,4,4,4,4,5,5,2,5,5,5,4,3,4,1,4,5,4,2,2,2,4,1,4,3500,4000,5,4,3,2,4,4,0
169,5,4,4,3,3,3,5,5,5,5,1,1,5,3,3,4,2,2,4,5,5,5,5,5,5,4,5,5,4,2,3,3,2,4,4000,10000,5,5,3,3,5,5,0
167,4,4,3,3,4,2,5,4,4,5,1,1,1,3,4,4,4,3,4,3,4,4,4,3,3,1,5,4,4,4,3,3,2,3,2000,2200,5,4,1,2,4,3,0
80,5,5,3,1,3,5,4,4,4,3,2,4,3,4,4,4,3,4,4,4,4,4,3,4,2,3,3,3,4,2,4,2,2,3,3000,3000,4,4,3,3,4,4,0
166,4,4,5,3,3,4,5,3,4,3,2,4,3,4,4,5,4,3,4,4,4,2,4,2,2,2,4,4,3,4,4,2,2,4,4500,4000,4,5,2,2,4,4,0
165,4,5,3,1,3,5,5,5,5,5,1,4,3,4,4,4,2,2,5,3,3,3,2,4,3,3,5,2,3,1,3,2,3,5,4500,4500,5,5,1,1,3,4,0
164,5,5,5,5,3,3,5,3,5,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,1,5,5,5,3,3,1,5,3,3,5000,6000,5,5,1,1,3,3,0
161,5,5,5,5,1,5,5,2,5,1,1,5,1,5,5,5,5,5,5,5,5,4,5,5,5,1,5,5,4,1,4,2,1,4,4000,5000,5,5,5,1,5,5,0
159,4,5,5,3,4,3,5,5,5,4,2,3,1,3,4,5,2,2,3,4,3,3,5,4,4,3,5,3,3,3,2,3,2,5,2500,20000,5,3,3,2,3,4,0
157,4,4,4,4,4,5,4,4,4,4,2,2,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,3,2,3,2,4,3000,4000,4,4,2,2,4,4,0
156,4,4,4,4,5,4,5,4,5,4,3,3,3,3,4,4,4,3,3,5,3,3,3,3,2,2,3,3,3,3,3,3,3,3,1000,3000,3,3,3,3,3,3,0
